feature,label
"[120, 8, 75, 11, 62, 72, 114, 100, 22, 19]","tensor([0., 1.])"
"[68, 30, 6, 85, 35, 91, 34, 8, 135, 72]","tensor([0., 1.])"
"[67, 74, 7, 136, 119, 22, 21, 53, 97, 105]","tensor([0., 1.])"
"[114, 35, 23, 16, 75, 86, 2, 1, 27, 87]","tensor([1., 0.])"
"[11, 54, 45, 16, 31, 84, 51, 126, 13, 56]","tensor([1., 0.])"
"[45, 126, 40, 62, 69, 85, 75, 35, 68, 67]","tensor([0., 1.])"
"[6, 21, 49, 37, 64, 35, 22, 8, 26, 5]","tensor([1., 0.])"
"[22, 14, 70, 99, 50, 76, 93, 84, 101, 104]","tensor([0., 1.])"
"[75, 8, 26, 2, 7, 44, 81, 36, 85, 30]","tensor([0., 1.])"
"[53, 101, 1, 11, 81, 21, 126, 105, 26, 71]","tensor([0., 1.])"
"[137, 37, 87, 39, 44, 67, 49, 101, 68, 102]","tensor([1., 0.])"
"[47, 20, 2, 8, 31, 138, 49, 14, 22, 64]","tensor([0., 1.])"
"[114, 64, 11, 88, 99, 9, 8, 75, 60, 106]","tensor([0., 1.])"
"[114, 138, 2, 84, 26, 46, 23, 89, 36, 50]","tensor([1., 0.])"
"[3, 123, 126, 1, 84, 75, 104, 138, 73, 128]","tensor([0., 1.])"
"[5, 26, 44, 23, 34, 85, 56, 74, 14, 64]","tensor([0., 1.])"
"[119, 39, 14, 20, 72, 94, 33, 81, 84, 6]","tensor([0., 1.])"
"[75, 28, 37, 71, 72, 40, 12, 34, 27, 5]","tensor([0., 1.])"
"[113, 138, 90, 107, 47, 45, 114, 98, 21, 41]","tensor([1., 0.])"
"[17, 98, 14, 88, 18, 22, 109, 50, 75, 2]","tensor([0., 1.])"
"[35, 26, 22, 21, 20, 8, 64, 31, 29, 2]","tensor([0., 1.])"
"[32, 48, 35, 47, 121, 6, 97, 30, 84, 44]","tensor([0., 1.])"
"[1, 26, 21, 15, 45, 29, 54, 39, 20, 84]","tensor([1., 0.])"
"[121, 73, 17, 110, 107, 76, 69, 50, 123, 91]","tensor([1., 0.])"
"[44, 35, 94, 98, 74, 11, 9, 38, 14, 68]","tensor([0., 1.])"
"[6, 138, 35, 99, 44, 2, 81, 31, 123, 43]","tensor([0., 1.])"
"[97, 1, 34, 82, 119, 14, 99, 110, 88, 111]","tensor([0., 1.])"
"[106, 88, 9, 54, 7, 1, 13, 5, 49, 50]","tensor([0., 1.])"
"[45, 70, 22, 30, 2, 50, 84, 16, 56, 74]","tensor([0., 1.])"
"[11, 93, 5, 99, 56, 27, 22, 104, 40, 105]","tensor([0., 1.])"
"[28, 1, 27, 120, 83, 74, 6, 70, 73, 84]","tensor([0., 1.])"
"[32, 106, 44, 137, 112, 71, 84, 111, 67, 17]","tensor([1., 0.])"
"[84, 4, 100, 29, 138, 104, 35, 26, 19, 62]","tensor([0., 1.])"
"[72, 137, 67, 86, 20, 100, 11, 44, 30, 75]","tensor([0., 1.])"
"[120, 2, 53, 46, 86, 93, 76, 84, 100, 35]","tensor([0., 1.])"
"[5, 94, 56, 91, 99, 16, 74, 67, 85, 60]","tensor([1., 0.])"
"[22, 44, 138, 128, 75, 32, 76, 104, 91, 8]","tensor([0., 1.])"
"[14, 67, 126, 90, 27, 2, 25, 70, 72, 97]","tensor([1., 0.])"
"[14, 99, 12, 40, 67, 4, 137, 6, 11, 120]","tensor([1., 0.])"
"[8, 2, 14, 138, 72, 32, 1, 45, 84, 69]","tensor([0., 1.])"
"[138, 105, 104, 64, 8, 99, 44, 27, 14, 11]","tensor([1., 0.])"
"[9, 74, 29, 8, 5, 104, 51, 40, 17, 50]","tensor([1., 0.])"
"[23, 17, 83, 50, 95, 54, 91, 59, 86, 88]","tensor([0., 1.])"
"[50, 135, 34, 102, 44, 35, 7, 32, 99, 64]","tensor([0., 1.])"
"[51, 30, 13, 11, 14, 6, 136, 1, 108, 39]","tensor([1., 0.])"
"[47, 90, 42, 30, 59, 35, 26, 111, 8, 104]","tensor([0., 1.])"
"[56, 99, 86, 88, 84, 73, 105, 45, 38, 19]","tensor([1., 0.])"
"[87, 9, 7, 22, 51, 84, 18, 137, 113, 39]","tensor([0., 1.])"
"[105, 114, 50, 34, 16, 56, 93, 37, 128, 99]","tensor([1., 0.])"
"[48, 102, 31, 40, 27, 41, 11, 104, 14, 121]","tensor([1., 0.])"
"[34, 123, 68, 67, 128, 86, 71, 138, 84, 14]","tensor([0., 1.])"
"[94, 62, 12, 30, 37, 108, 3, 78, 80, 88]","tensor([0., 1.])"
"[43, 59, 27, 78, 4, 32, 100, 105, 48, 11]","tensor([1., 0.])"
"[109, 86, 129, 104, 26, 108, 128, 48, 87, 76]","tensor([1., 0.])"
"[71, 105, 72, 104, 44, 94, 78, 14, 68, 82]","tensor([0., 1.])"
"[3, 63, 60, 2, 21, 14, 22, 18, 40, 138]","tensor([1., 0.])"
"[50, 60, 32, 59, 30, 103, 79, 109, 74, 84]","tensor([1., 0.])"
"[36, 105, 28, 123, 1, 135, 7, 87, 71, 6]","tensor([1., 0.])"
"[87, 75, 60, 13, 45, 34, 40, 129, 104, 58]","tensor([0., 1.])"
"[16, 22, 84, 73, 20, 35, 26, 9, 65, 8]","tensor([0., 1.])"
"[105, 1, 42, 11, 62, 102, 138, 27, 47, 84]","tensor([1., 0.])"
"[37, 5, 56, 84, 6, 14, 2, 72, 51, 57]","tensor([0., 1.])"
"[102, 41, 38, 50, 80, 7, 84, 36, 22, 48]","tensor([1., 0.])"
"[113, 101, 112, 104, 76, 75, 1, 71, 43, 111]","tensor([1., 0.])"
"[18, 32, 27, 100, 6, 1, 58, 39, 45, 128]","tensor([0., 1.])"
"[105, 98, 67, 21, 101, 68, 6, 51, 37, 70]","tensor([0., 1.])"
"[1, 21, 57, 22, 109, 63, 84, 94, 105, 138]","tensor([1., 0.])"
"[94, 22, 8, 119, 120, 30, 27, 129, 2, 128]","tensor([0., 1.])"
"[74, 40, 60, 13, 120, 18, 85, 14, 73, 99]","tensor([0., 1.])"
"[73, 40, 21, 53, 86, 26, 2, 34, 43, 8]","tensor([1., 0.])"
"[32, 27, 74, 5, 36, 7, 14, 1, 30, 35]","tensor([0., 1.])"
"[65, 61, 59, 75, 83, 29, 111, 136, 62, 80]","tensor([1., 0.])"
"[67, 84, 68, 110, 21, 8, 101, 14, 75, 135]","tensor([0., 1.])"
"[76, 27, 95, 75, 84, 14, 96, 26, 6, 104]","tensor([1., 0.])"
"[114, 91, 7, 136, 22, 53, 46, 63, 108, 98]","tensor([1., 0.])"
"[138, 35, 31, 20, 42, 47, 37, 8, 2, 5]","tensor([1., 0.])"
"[21, 32, 14, 25, 2, 15, 44, 73, 135, 26]","tensor([0., 1.])"
"[126, 84, 29, 119, 42, 30, 104, 56, 1, 21]","tensor([0., 1.])"
"[8, 113, 84, 2, 72, 14, 53, 22, 67, 5]","tensor([1., 0.])"
"[39, 22, 32, 123, 1, 80, 56, 109, 101, 14]","tensor([1., 0.])"
"[81, 135, 6, 14, 54, 42, 59, 136, 93, 73]","tensor([0., 1.])"
"[4, 86, 114, 38, 43, 120, 21, 138, 56, 58]","tensor([1., 0.])"
"[40, 47, 27, 44, 138, 73, 35, 30, 14, 105]","tensor([1., 0.])"
"[73, 32, 36, 7, 86, 123, 16, 63, 22, 40]","tensor([0., 1.])"
"[68, 1, 8, 60, 26, 42, 53, 38, 22, 128]","tensor([0., 1.])"
"[26, 22, 44, 137, 86, 25, 102, 53, 5, 41]","tensor([0., 1.])"
"[52, 6, 14, 11, 106, 1, 21, 105, 32, 109]","tensor([1., 0.])"
"[96, 84, 21, 37, 22, 39, 128, 97, 44, 138]","tensor([1., 0.])"
"[17, 46, 92, 66, 73, 96, 68, 37, 121, 44]","tensor([1., 0.])"
"[60, 50, 6, 56, 68, 9, 72, 32, 8, 14]","tensor([0., 1.])"
"[22, 101, 1, 119, 96, 14, 93, 21, 138, 83]","tensor([1., 0.])"
"[109, 93, 64, 10, 85, 35, 19, 58, 8, 27]","tensor([1., 0.])"
"[56, 113, 91, 129, 101, 84, 2, 90, 114, 21]","tensor([1., 0.])"
"[84, 95, 119, 47, 14, 74, 136, 48, 108, 5]","tensor([0., 1.])"
"[51, 106, 19, 11, 84, 93, 65, 16, 14, 120]","tensor([1., 0.])"
"[51, 9, 56, 138, 40, 94, 43, 105, 22, 37]","tensor([1., 0.])"
"[14, 74, 56, 86, 55, 87, 102, 36, 94, 35]","tensor([0., 1.])"
"[53, 111, 13, 100, 81, 9, 35, 2, 86, 67]","tensor([0., 1.])"
"[30, 13, 84, 70, 69, 27, 8, 9, 56, 104]","tensor([1., 0.])"
"[107, 14, 88, 114, 54, 98, 90, 13, 8, 59]","tensor([1., 0.])"
"[72, 67, 104, 126, 128, 19, 100, 30, 7, 89]","tensor([1., 0.])"
"[20, 40, 14, 2, 6, 135, 138, 81, 91, 56]","tensor([1., 0.])"
"[62, 2, 75, 45, 83, 1, 28, 29, 15, 84]","tensor([1., 0.])"
"[7, 14, 1, 129, 75, 56, 27, 98, 84, 138]","tensor([1., 0.])"
"[99, 93, 22, 103, 119, 75, 33, 11, 1, 7]","tensor([1., 0.])"
"[123, 89, 22, 100, 65, 26, 73, 35, 49, 37]","tensor([0., 1.])"
"[14, 91, 102, 47, 37, 9, 36, 22, 6, 108]","tensor([1., 0.])"
"[8, 44, 20, 42, 30, 22, 37, 5, 29, 21]","tensor([1., 0.])"
"[8, 31, 75, 15, 27, 114, 79, 41, 126, 84]","tensor([0., 1.])"
"[1, 138, 7, 83, 72, 45, 89, 5, 75, 2]","tensor([1., 0.])"
"[111, 8, 87, 42, 105, 35, 1, 79, 99, 83]","tensor([0., 1.])"
"[87, 36, 83, 106, 67, 74, 35, 6, 31, 100]","tensor([1., 0.])"
"[33, 11, 58, 20, 6, 41, 36, 32, 5, 43]","tensor([0., 1.])"
"[56, 101, 51, 104, 35, 106, 71, 8, 37, 53]","tensor([0., 1.])"
"[8, 9, 43, 66, 53, 84, 56, 121, 40, 32]","tensor([0., 1.])"
"[70, 25, 107, 8, 97, 5, 29, 138, 101, 17]","tensor([0., 1.])"
"[23, 9, 76, 30, 1, 35, 90, 47, 21, 71]","tensor([1., 0.])"
"[20, 36, 40, 30, 17, 42, 76, 44, 106, 84]","tensor([0., 1.])"
"[137, 126, 18, 75, 136, 59, 70, 101, 74, 68]","tensor([1., 0.])"
"[35, 30, 21, 5, 76, 104, 93, 40, 128, 73]","tensor([0., 1.])"
"[13, 37, 8, 54, 31, 119, 48, 56, 16, 75]","tensor([0., 1.])"
"[56, 74, 14, 35, 69, 26, 63, 36, 114, 6]","tensor([1., 0.])"
"[1, 100, 23, 75, 57, 71, 3, 74, 10, 6]","tensor([1., 0.])"
"[35, 44, 14, 9, 21, 2, 40, 41, 6, 123]","tensor([1., 0.])"
"[111, 49, 35, 123, 17, 119, 104, 105, 44, 86]","tensor([0., 1.])"
"[9, 14, 67, 22, 90, 37, 73, 84, 12, 36]","tensor([0., 1.])"
"[14, 42, 100, 1, 31, 97, 22, 27, 21, 32]","tensor([0., 1.])"
"[27, 84, 86, 34, 1, 30, 93, 10, 26, 104]","tensor([0., 1.])"
"[105, 62, 50, 107, 48, 104, 31, 40, 36, 57]","tensor([1., 0.])"
"[8, 44, 47, 37, 14, 26, 29, 35, 22, 31]","tensor([0., 1.])"
"[68, 7, 104, 73, 126, 85, 5, 108, 86, 48]","tensor([1., 0.])"
"[11, 27, 93, 30, 91, 21, 54, 84, 26, 102]","tensor([1., 0.])"
"[27, 2, 64, 53, 74, 68, 5, 8, 14, 21]","tensor([1., 0.])"
"[70, 89, 84, 69, 17, 78, 52, 58, 111, 35]","tensor([0., 1.])"
"[86, 69, 32, 99, 48, 11, 93, 77, 128, 22]","tensor([1., 0.])"
"[44, 86, 20, 1, 49, 62, 40, 41, 109, 53]","tensor([0., 1.])"
"[14, 8, 88, 64, 19, 49, 84, 73, 62, 17]","tensor([0., 1.])"
"[11, 44, 69, 68, 138, 84, 93, 28, 101, 75]","tensor([0., 1.])"
"[97, 88, 90, 22, 57, 101, 47, 113, 9, 50]","tensor([0., 1.])"
"[40, 42, 15, 78, 30, 84, 123, 13, 119, 108]","tensor([1., 0.])"
"[14, 32, 126, 18, 68, 67, 21, 20, 16, 61]","tensor([0., 1.])"
"[106, 56, 47, 86, 4, 91, 59, 50, 2, 95]","tensor([0., 1.])"
"[26, 17, 11, 2, 5, 25, 101, 44, 14, 71]","tensor([0., 1.])"
"[110, 99, 87, 19, 70, 75, 8, 13, 69, 32]","tensor([1., 0.])"
"[69, 21, 34, 85, 6, 10, 53, 11, 86, 107]","tensor([1., 0.])"
"[75, 36, 70, 5, 14, 93, 50, 62, 108, 104]","tensor([1., 0.])"
"[7, 1, 63, 37, 2, 126, 93, 76, 14, 69]","tensor([1., 0.])"
"[81, 47, 14, 84, 35, 108, 67, 36, 26, 86]","tensor([1., 0.])"
"[14, 84, 136, 63, 101, 37, 40, 44, 28, 96]","tensor([0., 1.])"
"[62, 70, 101, 39, 5, 91, 77, 113, 114, 138]","tensor([1., 0.])"
"[28, 14, 40, 66, 56, 113, 135, 41, 26, 98]","tensor([1., 0.])"
"[96, 137, 35, 41, 51, 13, 37, 23, 69, 114]","tensor([0., 1.])"
"[20, 105, 2, 93, 75, 110, 96, 39, 114, 26]","tensor([1., 0.])"
"[89, 101, 128, 11, 87, 46, 105, 104, 54, 40]","tensor([1., 0.])"
"[6, 28, 4, 47, 26, 89, 128, 71, 17, 75]","tensor([0., 1.])"
"[126, 36, 44, 35, 102, 7, 123, 8, 136, 65]","tensor([1., 0.])"
"[137, 104, 114, 84, 11, 54, 57, 4, 112, 94]","tensor([0., 1.])"
"[21, 7, 31, 64, 101, 32, 44, 123, 96, 3]","tensor([0., 1.])"
"[74, 73, 111, 99, 75, 53, 31, 70, 84, 11]","tensor([1., 0.])"
"[41, 80, 10, 99, 25, 60, 102, 6, 21, 42]","tensor([0., 1.])"
"[88, 82, 65, 20, 48, 39, 66, 114, 37, 16]","tensor([0., 1.])"
"[8, 112, 72, 84, 34, 46, 6, 101, 4, 97]","tensor([1., 0.])"
"[73, 119, 58, 57, 93, 26, 59, 76, 32, 87]","tensor([1., 0.])"
"[28, 110, 14, 35, 2, 20, 8, 64, 96, 75]","tensor([1., 0.])"
"[6, 35, 25, 136, 75, 14, 21, 84, 22, 98]","tensor([1., 0.])"
"[11, 104, 26, 53, 67, 136, 93, 94, 2, 23]","tensor([1., 0.])"
"[16, 78, 138, 6, 44, 81, 99, 29, 50, 30]","tensor([1., 0.])"
"[14, 30, 99, 40, 1, 94, 111, 54, 135, 76]","tensor([1., 0.])"
"[137, 64, 28, 26, 27, 21, 123, 111, 53, 67]","tensor([1., 0.])"
"[104, 138, 37, 96, 33, 86, 27, 38, 41, 31]","tensor([1., 0.])"
"[42, 14, 75, 105, 8, 62, 22, 39, 86, 54]","tensor([1., 0.])"
"[102, 119, 49, 74, 8, 72, 14, 31, 6, 97]","tensor([1., 0.])"
"[94, 14, 11, 9, 2, 75, 104, 4, 93, 40]","tensor([1., 0.])"
"[93, 7, 71, 36, 84, 70, 111, 76, 40, 2]","tensor([1., 0.])"
"[23, 50, 8, 54, 21, 2, 63, 17, 25, 53]","tensor([0., 1.])"
"[8, 76, 51, 27, 21, 93, 22, 26, 94, 136]","tensor([1., 0.])"
"[6, 137, 136, 85, 28, 42, 17, 26, 35, 112]","tensor([1., 0.])"
"[8, 16, 21, 58, 101, 68, 27, 44, 23, 25]","tensor([1., 0.])"
"[35, 14, 37, 49, 2, 44, 42, 5, 21, 31]","tensor([0., 1.])"
"[137, 126, 21, 70, 128, 88, 35, 30, 105, 106]","tensor([1., 0.])"
"[34, 83, 85, 44, 59, 84, 102, 93, 53, 138]","tensor([0., 1.])"
"[21, 76, 53, 100, 26, 84, 41, 35, 70, 45]","tensor([0., 1.])"
"[84, 36, 95, 88, 13, 82, 31, 74, 129, 28]","tensor([1., 0.])"
"[97, 106, 111, 61, 18, 11, 16, 46, 39, 22]","tensor([1., 0.])"
"[4, 64, 33, 30, 35, 76, 138, 8, 91, 25]","tensor([0., 1.])"
"[111, 70, 137, 17, 105, 123, 108, 37, 22, 93]","tensor([1., 0.])"
"[56, 91, 73, 32, 20, 105, 34, 101, 12, 95]","tensor([0., 1.])"
"[4, 8, 105, 33, 23, 26, 54, 81, 14, 98]","tensor([1., 0.])"
"[6, 2, 5, 21, 64, 30, 8, 42, 31, 35]","tensor([1., 0.])"
"[105, 74, 2, 102, 75, 9, 1, 128, 69, 104]","tensor([0., 1.])"
"[67, 70, 14, 11, 9, 56, 26, 62, 8, 84]","tensor([1., 0.])"
"[71, 44, 60, 5, 119, 20, 14, 93, 72, 11]","tensor([0., 1.])"
"[27, 26, 14, 59, 44, 64, 104, 93, 34, 101]","tensor([0., 1.])"
"[56, 138, 126, 84, 42, 8, 22, 5, 105, 14]","tensor([1., 0.])"
"[63, 99, 128, 5, 15, 93, 23, 22, 30, 32]","tensor([1., 0.])"
"[138, 45, 1, 9, 84, 38, 25, 40, 6, 12]","tensor([0., 1.])"
"[84, 1, 97, 101, 106, 9, 35, 14, 104, 65]","tensor([1., 0.])"
"[37, 34, 105, 16, 123, 38, 94, 40, 119, 74]","tensor([0., 1.])"
"[37, 99, 22, 71, 1, 51, 9, 44, 17, 16]","tensor([1., 0.])"
"[22, 40, 62, 17, 21, 84, 19, 9, 28, 138]","tensor([0., 1.])"
"[84, 90, 29, 76, 48, 56, 108, 101, 36, 138]","tensor([0., 1.])"
"[48, 8, 74, 119, 26, 84, 70, 25, 28, 89]","tensor([1., 0.])"
"[73, 41, 11, 58, 110, 74, 86, 14, 16, 46]","tensor([1., 0.])"
"[30, 29, 44, 6, 5, 8, 37, 35, 31, 49]","tensor([0., 1.])"
"[42, 104, 26, 35, 16, 30, 70, 5, 67, 84]","tensor([0., 1.])"
"[121, 63, 129, 68, 11, 8, 103, 45, 105, 34]","tensor([0., 1.])"
"[56, 45, 102, 103, 119, 32, 84, 91, 13, 54]","tensor([1., 0.])"
"[137, 138, 51, 68, 43, 111, 17, 56, 99, 128]","tensor([0., 1.])"
"[99, 44, 100, 25, 26, 68, 84, 2, 1, 11]","tensor([0., 1.])"
"[11, 84, 42, 111, 31, 88, 99, 9, 91, 8]","tensor([0., 1.])"
"[99, 11, 112, 62, 54, 35, 67, 12, 84, 23]","tensor([1., 0.])"
"[71, 11, 44, 40, 7, 96, 49, 16, 75, 58]","tensor([1., 0.])"
"[123, 22, 104, 86, 72, 9, 89, 50, 14, 15]","tensor([0., 1.])"
"[101, 67, 20, 84, 74, 58, 26, 63, 86, 44]","tensor([1., 0.])"
"[8, 14, 105, 113, 96, 32, 68, 19, 9, 76]","tensor([0., 1.])"
"[83, 94, 2, 66, 65, 1, 56, 85, 119, 90]","tensor([0., 1.])"
"[105, 22, 34, 16, 84, 40, 46, 65, 93, 67]","tensor([1., 0.])"
"[94, 29, 32, 86, 84, 62, 97, 36, 35, 114]","tensor([0., 1.])"
"[2, 128, 104, 18, 35, 101, 27, 13, 88, 1]","tensor([1., 0.])"
"[8, 41, 5, 37, 23, 13, 101, 75, 60, 44]","tensor([0., 1.])"
"[14, 129, 6, 22, 8, 11, 84, 39, 94, 44]","tensor([0., 1.])"
"[18, 98, 9, 68, 34, 59, 7, 81, 2, 88]","tensor([0., 1.])"
"[20, 6, 138, 1, 37, 73, 95, 2, 91, 84]","tensor([0., 1.])"
"[29, 114, 34, 71, 30, 16, 32, 26, 21, 84]","tensor([0., 1.])"
"[76, 74, 70, 102, 30, 87, 14, 104, 53, 46]","tensor([1., 0.])"
"[44, 26, 102, 75, 73, 110, 62, 42, 22, 30]","tensor([1., 0.])"
"[45, 72, 121, 44, 102, 47, 22, 135, 84, 1]","tensor([0., 1.])"
"[14, 21, 111, 8, 119, 56, 128, 5, 19, 104]","tensor([1., 0.])"
"[104, 65, 71, 138, 112, 6, 3, 32, 39, 2]","tensor([0., 1.])"
"[94, 5, 62, 99, 15, 1, 14, 35, 84, 30]","tensor([0., 1.])"
"[59, 44, 35, 34, 72, 30, 73, 101, 99, 100]","tensor([1., 0.])"
"[22, 47, 5, 35, 30, 21, 49, 37, 44, 20]","tensor([0., 1.])"
"[107, 69, 9, 136, 8, 30, 104, 14, 34, 114]","tensor([1., 0.])"
"[93, 84, 54, 46, 75, 47, 101, 50, 121, 81]","tensor([0., 1.])"
"[22, 2, 44, 5, 37, 6, 21, 47, 64, 31]","tensor([0., 1.])"
"[60, 85, 80, 120, 97, 101, 87, 99, 12, 36]","tensor([1., 0.])"
"[18, 119, 35, 72, 8, 51, 71, 90, 4, 14]","tensor([1., 0.])"
"[10, 84, 74, 67, 14, 104, 22, 32, 50, 100]","tensor([0., 1.])"
"[98, 106, 75, 5, 138, 7, 103, 9, 8, 19]","tensor([1., 0.])"
"[51, 99, 87, 56, 114, 30, 21, 44, 2, 27]","tensor([0., 1.])"
"[128, 30, 35, 2, 41, 26, 44, 62, 9, 123]","tensor([1., 0.])"
"[1, 36, 70, 21, 77, 26, 29, 35, 88, 84]","tensor([1., 0.])"
"[98, 73, 9, 11, 84, 50, 106, 13, 137, 37]","tensor([1., 0.])"
"[32, 50, 104, 47, 14, 29, 128, 11, 41, 44]","tensor([1., 0.])"
"[106, 12, 23, 84, 30, 80, 6, 96, 9, 43]","tensor([1., 0.])"
"[22, 8, 87, 75, 13, 95, 97, 53, 105, 85]","tensor([0., 1.])"
"[86, 111, 49, 39, 99, 28, 93, 51, 18, 26]","tensor([0., 1.])"
"[83, 29, 44, 128, 71, 105, 74, 99, 76, 93]","tensor([0., 1.])"
"[17, 30, 60, 1, 101, 56, 111, 73, 136, 105]","tensor([0., 1.])"
"[86, 67, 71, 72, 26, 74, 73, 51, 27, 22]","tensor([1., 0.])"
"[37, 44, 21, 35, 5, 42, 26, 47, 30, 8]","tensor([1., 0.])"
"[14, 93, 81, 20, 108, 48, 72, 74, 98, 106]","tensor([0., 1.])"
"[123, 58, 78, 65, 32, 6, 61, 62, 5, 84]","tensor([0., 1.])"
"[57, 114, 63, 64, 138, 83, 41, 22, 45, 30]","tensor([1., 0.])"
"[110, 17, 55, 1, 111, 35, 50, 84, 69, 13]","tensor([0., 1.])"
"[119, 67, 80, 34, 72, 86, 87, 90, 2, 1]","tensor([1., 0.])"
"[35, 74, 41, 81, 30, 25, 14, 36, 31, 86]","tensor([1., 0.])"
"[49, 100, 62, 93, 84, 22, 5, 138, 2, 8]","tensor([0., 1.])"
"[69, 102, 46, 56, 136, 73, 40, 29, 65, 37]","tensor([1., 0.])"
"[13, 93, 37, 57, 28, 59, 138, 2, 30, 18]","tensor([1., 0.])"
"[39, 77, 119, 9, 42, 44, 113, 96, 18, 84]","tensor([1., 0.])"
"[73, 7, 94, 97, 138, 35, 137, 13, 14, 39]","tensor([1., 0.])"
"[83, 120, 84, 51, 38, 27, 74, 14, 94, 53]","tensor([0., 1.])"
"[58, 29, 39, 32, 8, 35, 2, 6, 51, 84]","tensor([0., 1.])"
"[35, 51, 56, 42, 9, 104, 121, 22, 14, 138]","tensor([0., 1.])"
"[56, 2, 41, 85, 29, 22, 40, 47, 6, 37]","tensor([1., 0.])"
"[68, 7, 63, 104, 106, 76, 14, 114, 105, 60]","tensor([1., 0.])"
"[30, 8, 5, 29, 21, 35, 2, 64, 44, 26]","tensor([0., 1.])"
"[35, 95, 20, 2, 94, 93, 67, 14, 44, 101]","tensor([0., 1.])"
"[35, 111, 2, 8, 9, 106, 98, 100, 126, 14]","tensor([0., 1.])"
"[86, 101, 22, 67, 128, 23, 74, 112, 93, 9]","tensor([1., 0.])"
"[23, 32, 63, 93, 123, 88, 30, 14, 73, 67]","tensor([0., 1.])"
"[67, 31, 98, 62, 11, 41, 87, 2, 107, 8]","tensor([0., 1.])"
"[8, 112, 86, 68, 84, 12, 129, 5, 120, 50]","tensor([0., 1.])"
